Row.names,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
FBgn0060296,439.5401318,-3.157827151,0.358951142,-8.797373177,1.40E-18,7.76E-17,439.5401318,-1.655266861,0.31224139,-5.301241,1.15E-07,1.46E-06
FBgn0063127,121.1373339,-5.059967724,0.663119546,-7.630551313,2.34E-14,7.41E-13,121.1373339,-2.249612737,0.541966072,-4.150836838,3.31E-05,0.000247548
FBgn0085409,784.6386234,-2.301327631,0.580217688,-3.966317604,7.30E-05,0.000372235,784.6386234,-1.699829322,0.518089525,-3.280956742,0.001034556,0.004928917
FBgn0085424,2305.046152,-1.887847184,0.173913518,-10.85509167,1.89E-27,2.56E-25,2305.046152,-2.30746108,0.15587545,-14.80323609,1.40E-49,7.70E-47
FBgn0085732,102.2220739,-2.170523134,0.321053022,-6.760637596,1.37E-11,3.02E-10,102.2220739,-1.981603809,0.280567798,-7.062834088,1.63E-12,4.26E-11
FBgn0260746,84.51431369,-5.622186224,0.926675659,-6.067048561,1.30E-09,2.08E-08,84.51431369,-4.245216811,0.765500114,-5.545677569,2.93E-08,4.14E-07
FBgn0261588,505.3059318,-2.357018824,0.482949436,-4.880467077,1.06E-06,8.79E-06,505.3059318,-1.435164051,0.429348336,-3.342656606,0.000829805,0.004076726
FBgn0263236,465.0256758,-6.242854016,0.85321447,-7.316863737,2.54E-13,6.90E-12,465.0256758,-3.123676227,0.73904383,-4.226645432,2.37E-05,0.000184917
FBgn0263380,135.731297,-4.041053043,0.715685256,-5.646410917,1.64E-08,2.06E-07,135.731297,-1.998629152,0.621584749,-3.215376754,0.001302734,0.006027195
FBgn0264562,715.6781,-8.617462467,1.2382519,-6.959377542,3.42E-12,8.00E-11,715.6781,-6.408985238,1.060984344,-6.040603024,1.54E-09,2.62E-08
FBgn0264574,277.3762377,-3.390328744,0.426645711,-7.946473282,1.92E-15,7.05E-14,277.3762377,-2.392880525,0.373264509,-6.410683222,1.45E-10,2.82E-09
FBgn0265011,761.7153474,-2.105141717,0.605958971,-3.474066427,0.000512634,0.002027653,761.7153474,-4.613484482,0.548263137,-8.414726751,3.94E-17,1.93E-15
FBgn0265187,71.57207983,-2.498485068,0.403923827,-6.185535252,6.19E-10,1.06E-08,71.57207983,-1.532916124,0.336590931,-4.554240723,5.26E-06,4.80E-05
FBgn0266046,201.3286229,-7.125393543,0.714526153,-9.972194182,2.02E-23,2.02E-21,201.3286229,-3.063471947,0.49398791,-6.201511989,5.59E-10,1.02E-08
FBgn0268063,974.0054503,-4.051443169,0.525278463,-7.712943626,1.23E-14,4.07E-13,974.0054503,-1.7084414,0.46473887,-3.676131935,0.000236797,0.001390087
