,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0040228,162.5952002,-1.275095405,0.347618001,-3.668093719,0.000244366,0.005054791
FBgn0030586,6.633066611,-6.275938835,1.711048727,-3.667890187,0.00024456,0.005054791
FBgn0004580,13.10003543,-6.841842306,1.866947894,-3.664720546,0.000247609,0.005106379
FBgn0004034,107.7686376,3.673339974,1.002558884,3.663964315,0.000248341,0.005110081
FBgn0036366,156.5225823,1.195273808,0.326550064,3.660307991,0.000251912,0.005172039
FBgn0051973,1538.070488,-2.693427452,0.73666944,-3.656222595,0.000255959,0.005231872
FBgn0020018,267.824297,0.66067067,0.180695359,3.656268063,0.000255914,0.005231872
FBgn0000221,168.1260715,-2.754509812,0.753828814,-3.654025637,0.00025816,0.005242076
FBgn0086365,431.675044,2.12864212,0.582530288,3.654131232,0.000258054,0.005242076
FBgn0263617,29.64629286,-3.462983953,0.947580682,-3.654553136,0.00025763,0.005242076
FBgn0022774,203.9757192,-4.031620381,1.103560001,-3.653286071,0.000258906,0.005245675
FBgn0051523,855.775894,-1.11225921,0.304781612,-3.649364551,0.00026289,0.005294265
FBgn0032189,48.20271289,-1.797352757,0.492556689,-3.649027205,0.000263235,0.005294265
FBgn0010228,3014.53987,-1.092384628,0.299367865,-3.648970896,0.000263293,0.005294265
FBgn0036702,1453.558052,1.522260334,0.417209025,3.648675463,0.000263596,0.005294265
FBgn0034644,1270.510553,-2.031459374,0.556897064,-3.647818429,0.000264476,0.005300429
FBgn0029913,93.07392023,-2.639263933,0.723694333,-3.646931878,0.00026539,0.00530723
FBgn0011661,15546.68095,-0.636306223,0.174584538,-3.644688308,0.000267716,0.005326736
FBgn0263782,339.0020318,1.003141129,0.275261219,3.644324232,0.000268095,0.005326736
FBgn0263999,112.5076515,4.038486479,1.10801276,3.64480142,0.000267598,0.005326736
FBgn0034440,36.93549078,4.750654722,1.303956287,3.643262255,0.000269204,0.005333661
FBgn0034315,558.6212925,-1.370222421,0.376136525,-3.642885845,0.000269598,0.005333661
FBgn0051769,189.1965644,2.264645788,0.621830697,3.641900921,0.000270632,0.005342674
FBgn0038475,118.400025,-1.730010771,0.475463829,-3.638574938,0.000274151,0.005400597
FBgn0034158,149.9038801,-1.540902187,0.423645147,-3.637247348,0.000275567,0.005405448
FBgn0263278,719.2472955,2.249299971,0.61834535,3.6376112,0.000275178,0.005405448
FBgn0015024,2800.309726,-0.953452598,0.262347288,-3.634314674,0.000278721,0.005455718
FBgn0033717,2253.429258,-2.040646431,0.561601337,-3.633621034,0.000279471,0.005458848
FBgn0030669,250.2949773,0.700872224,0.193216456,3.627394055,0.000286296,0.00558036
FBgn0011204,2894.991835,-3.791052045,1.045740605,-3.625231751,0.000288702,0.005615414
FBgn0032516,289.4391878,-2.152148677,0.594287545,-3.62139287,0.000293021,0.005687442
FBgn0038240,270.9108252,6.272923827,1.733330908,3.618999579,0.000295744,0.00572826
FBgn0030659,289.6682734,0.734509801,0.203363017,3.611816011,0.00030406,0.005877014
FBgn0037470,751.9778016,0.783055404,0.216927434,3.609757372,0.000306484,0.00589917
FBgn0034883,414.4277852,1.135965051,0.314680461,3.609900177,0.000306315,0.00589917
FBgn0036291,53.94393499,-2.172183592,0.601849217,-3.609182386,0.000307164,0.005899968
FBgn0266454,43.32630256,4.81610947,1.335437076,3.606391911,0.000310484,0.005951375
FBgn0039136,767.1054172,-1.367423938,0.379282292,-3.60529338,0.0003118,0.005964233
FBgn0033760,16.75626484,-8.018512496,2.22603404,-3.602151788,0.000315594,0.006011903
FBgn0266756,2471.342954,-1.089743167,0.30249638,-3.602499858,0.000315172,0.006011903
FBgn0026417,27.38438857,-2.196781023,0.609997097,-3.601297505,0.000316633,0.006019284
FBgn0034860,619.8039387,-3.855487135,1.0707856,-3.600615412,0.000317465,0.006022706
FBgn0031776,243.9579383,-0.94917904,0.263798952,-3.598115286,0.000320532,0.006068424
FBgn0050344,1883.700349,-3.240611064,0.902227713,-3.591788433,0.000328416,0.006204988
FBgn0030941,502.8353037,-2.662677465,0.741444493,-3.591202698,0.000329156,0.006206261
FBgn0033154,11.93012008,-4.851308316,1.351367896,-3.589924203,0.000330774,0.006224078
FBgn0027561,1240.641982,-2.426465797,0.678160413,-3.578011558,0.000346218,0.006484527
FBgn0035194,46.80079802,-1.280689419,0.357968604,-3.577658502,0.000346686,0.006484527
FBgn0036732,2098.240133,0.713196199,0.199348674,3.577632014,0.000346721,0.006484527
FBgn0041111,1482.016001,-1.38199856,0.386428683,-3.576335354,0.000348445,0.006503595
FBgn0027556,5369.449127,-3.567473044,0.997834601,-3.57521481,0.00034994,0.006518346
FBgn0039465,208.7764234,-2.395306303,0.670549517,-3.572154244,0.000354057,0.006581751
FBgn0039081,78.89214618,2.060437607,0.577638131,3.567004146,0.000361086,0.006658825
FBgn0031322,589.4826849,-1.563580596,0.438199452,-3.568193865,0.000359451,0.006658825
FBgn0261811,965.3964512,-1.60741359,0.450567016,-3.56753498,0.000360355,0.006658825
FBgn0030342,326.2436192,0.826652365,0.231742275,3.567119403,0.000360927,0.006658825
FBgn0023534,37.37616186,-1.604213922,0.450422732,-3.561574068,0.000368638,0.006771068
FBgn0000253,5680.938101,-0.990107356,0.277962224,-3.562021281,0.000368011,0.006771068
FBgn0028894,292.9541511,-1.068222692,0.300244645,-3.557840948,0.000373916,0.006838558
FBgn0002441,387.5849797,0.752659733,0.211575351,3.55740746,0.000374533,0.006838558
FBgn0036305,402.4049508,-0.636517637,0.178924767,-3.557459635,0.000374459,0.006838558
FBgn0034756,212.7287059,-1.938788909,0.546796858,-3.545720649,0.000391541,0.007135005
FBgn0036363,40.12400169,-5.370138639,1.514999375,-3.544647428,0.000393139,0.007150014
FBgn0026192,753.5534618,-0.547968959,0.154622735,-3.543909362,0.000394241,0.007155973
FBgn0010222,173.2177403,-1.380329437,0.389602678,-3.542915679,0.000395729,0.007168906
FBgn0267511,5.220991229,-3.116352235,0.88062739,-3.538786406,0.000401971,0.007267729
FBgn0025456,327.3708226,-2.924985755,0.826829263,-3.537593416,0.000403791,0.007286383
FBgn0025627,14.47994001,4.274699825,1.20871027,3.536579386,0.000405345,0.007300155
FBgn0067779,503.4482747,-0.981726199,0.278070008,-3.53050013,0.000414775,0.007455456
FBgn0000259,1616.670442,-0.508090038,0.143972258,-3.529082936,0.000417002,0.007480942
FBgn0027932,9853.756126,-1.830784928,0.519009592,-3.527458755,0.000419569,0.007512401
FBgn0024320,2480.238142,-0.956641288,0.271481448,-3.523781435,0.000425435,0.007602697
FBgn0024371,282.181483,-0.845110179,0.239922247,-3.522433582,0.000427604,0.007626708
FBgn0038672,54.38789423,-1.925488884,0.546822162,-3.521234171,0.000429543,0.007646529
FBgn0262617,453.6282055,-1.834351566,0.521339226,-3.518537404,0.000433933,0.007709815
FBgn0026238,819.184963,-0.742115326,0.210979006,-3.517484227,0.000435658,0.007725617
FBgn0020309,3791.502662,-0.510798604,0.145356017,-3.5141208,0.000441212,0.007801716
FBgn0039024,148.1579676,2.385921328,0.679100209,3.513356787,0.000442483,0.007801716
